Iteration,BestPathLength,BestPathCost,NormBestCost,GlobalBestLength,GlobalBestCost,ImprovementFactor,Alpha,Beta,Evaporation,Deposit
1,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
2,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
3,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
4,23,28.90,0.5362,13,18.40,1.8651,1.00,0.50,1.00,1.00
5,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
6,23,29.20,0.5417,13,18.40,1.8459,1.00,0.50,1.00,1.00
7,22,26.90,0.4991,13,18.40,2.0037,1.00,0.50,1.00,1.00
8,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
9,22,26.90,0.4991,13,18.40,2.0037,1.00,0.50,1.00,1.00
10,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
11,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
12,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
13,23,29.20,0.5417,13,18.40,1.8459,1.00,0.50,1.00,1.00
14,23,28.90,0.5362,13,18.40,1.8651,1.00,0.50,1.00,1.00
15,23,29.20,0.5417,13,18.40,1.8459,1.00,0.50,1.00,1.00
16,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
17,22,26.90,0.4991,13,18.40,2.0037,1.00,0.50,1.00,1.00
18,22,26.90,0.4991,13,18.40,2.0037,1.00,0.50,1.00,1.00
19,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
20,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
21,19,26.70,0.4954,13,18.40,2.0187,1.00,0.50,1.00,1.00
22,19,26.70,0.4954,13,18.40,2.0187,1.00,0.50,1.00,1.00
23,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
24,22,26.90,0.4991,13,18.40,2.0037,1.00,0.50,1.00,1.00
25,23,28.70,0.5325,13,18.40,1.8780,1.00,0.50,1.00,1.00
26,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
27,23,29.20,0.5417,13,18.40,1.8459,1.00,0.50,1.00,1.00
28,23,29.20,0.5417,13,18.40,1.8459,1.00,0.50,1.00,1.00
29,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
30,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
31,23,29.20,0.5417,13,18.40,1.8459,1.00,0.50,1.00,1.00
32,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
33,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
34,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
35,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
36,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
37,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
38,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
39,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
40,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
41,22,26.90,0.4991,13,18.40,2.0037,1.00,0.50,1.00,1.00
42,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
43,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
44,22,26.90,0.4991,13,18.40,2.0037,1.00,0.50,1.00,1.00
45,22,26.90,0.4991,13,18.40,2.0037,1.00,0.50,1.00,1.00
46,27,31.70,0.5881,13,18.40,1.7003,1.00,0.50,1.00,1.00
47,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
48,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
49,23,28.90,0.5362,13,18.40,1.8651,1.00,0.50,1.00,1.00
50,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
Final,13,18.40,0.3414,13,18.40,2.9293,1.00,0.50,1.00,1.00
