Iteration,BestPathLength,BestPathCost,NormBestCost,GlobalBestLength,GlobalBestCost,ImprovementFactor,Alpha,Beta,Evaporation,Deposit
1,27,31.40,0.5826,27,31.40,1.7166,0.50,4.00,0.60,10.00
2,36,40.40,0.7495,27,31.40,1.3342,0.50,4.00,0.60,10.00
3,27,31.70,0.5881,27,31.40,1.7003,0.50,4.00,0.60,10.00
4,36,40.20,0.7458,27,31.40,1.3408,0.50,4.00,0.60,10.00
5,36,40.40,0.7495,27,31.40,1.3342,0.50,4.00,0.60,10.00
6,27,31.90,0.5918,27,31.40,1.6897,0.50,4.00,0.60,10.00
7,27,31.90,0.5918,27,31.40,1.6897,0.50,4.00,0.60,10.00
8,36,40.20,0.7458,27,31.40,1.3408,0.50,4.00,0.60,10.00
9,36,40.40,0.7495,27,31.40,1.3342,0.50,4.00,0.60,10.00
10,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
11,36,40.40,0.7495,22,26.90,1.3342,0.50,4.00,0.60,10.00
12,27,31.40,0.5826,22,26.90,1.7166,0.50,4.00,0.60,10.00
13,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
14,36,40.20,0.7458,22,26.90,1.3408,0.50,4.00,0.60,10.00
15,27,31.90,0.5918,22,26.90,1.6897,0.50,4.00,0.60,10.00
16,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
17,36,40.40,0.7495,22,26.90,1.3342,0.50,4.00,0.60,10.00
18,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
19,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
20,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
21,32,37.70,0.6994,22,26.90,1.4297,0.50,4.00,0.60,10.00
22,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
23,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
24,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
25,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
26,36,40.40,0.7495,22,26.90,1.3342,0.50,4.00,0.60,10.00
27,36,40.40,0.7495,22,26.90,1.3342,0.50,4.00,0.60,10.00
28,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
29,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
30,36,40.40,0.7495,22,26.90,1.3342,0.50,4.00,0.60,10.00
31,36,40.40,0.7495,22,26.90,1.3342,0.50,4.00,0.60,10.00
32,27,31.70,0.5881,22,26.90,1.7003,0.50,4.00,0.60,10.00
33,22,26.90,0.4991,22,26.90,2.0037,0.50,4.00,0.60,10.00
34,27,31.90,0.5918,22,26.90,1.6897,0.50,4.00,0.60,10.00
35,36,40.40,0.7495,22,26.90,1.3342,0.50,4.00,0.60,10.00
36,36,40.40,0.7495,22,26.90,1.3342,0.50,4.00,0.60,10.00
37,27,31.90,0.5918,22,26.90,1.6897,0.50,4.00,0.60,10.00
38,13,18.40,0.3414,13,18.40,2.9293,0.50,4.00,0.60,10.00
39,13,18.40,0.3414,13,18.40,2.9293,0.50,4.00,0.60,10.00
40,27,31.90,0.5918,13,18.40,1.6897,0.50,4.00,0.60,10.00
41,27,31.70,0.5881,13,18.40,1.7003,0.50,4.00,0.60,10.00
42,22,26.90,0.4991,13,18.40,2.0037,0.50,4.00,0.60,10.00
43,27,31.90,0.5918,13,18.40,1.6897,0.50,4.00,0.60,10.00
44,22,26.90,0.4991,13,18.40,2.0037,0.50,4.00,0.60,10.00
45,36,40.40,0.7495,13,18.40,1.3342,0.50,4.00,0.60,10.00
46,27,31.40,0.5826,13,18.40,1.7166,0.50,4.00,0.60,10.00
47,27,31.90,0.5918,13,18.40,1.6897,0.50,4.00,0.60,10.00
48,22,26.90,0.4991,13,18.40,2.0037,0.50,4.00,0.60,10.00
49,27,31.90,0.5918,13,18.40,1.6897,0.50,4.00,0.60,10.00
50,22,26.90,0.4991,13,18.40,2.0037,0.50,4.00,0.60,10.00
Final,13,18.40,0.3414,13,18.40,2.9293,0.50,4.00,0.60,10.00
