Iteration,BestPathLength,BestPathCost,NormBestCost,GlobalBestLength,GlobalBestCost,ImprovementFactor,Alpha,Beta,Evaporation,Deposit
1,27,31.90,0.5918,27,31.90,1.6897,1.00,3.00,0.60,10.00
2,23,28.90,0.5362,23,28.90,1.8651,1.00,3.00,0.60,10.00
3,23,28.90,0.5362,23,28.90,1.8651,1.00,3.00,0.60,10.00
4,23,28.90,0.5362,23,28.90,1.8651,1.00,3.00,0.60,10.00
5,23,28.90,0.5362,23,28.90,1.8651,1.00,3.00,0.60,10.00
6,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
7,22,26.90,0.4991,13,18.40,2.0037,1.00,3.00,0.60,10.00
8,22,26.90,0.4991,13,18.40,2.0037,1.00,3.00,0.60,10.00
9,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
10,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
11,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
12,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
13,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
14,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
15,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
16,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
17,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
18,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
19,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
20,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
21,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
22,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
23,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
24,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
25,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
26,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
27,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
28,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
29,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
30,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
31,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
32,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
33,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
34,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
35,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
36,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
37,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
38,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
39,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
40,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
41,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
42,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
43,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
44,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
45,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
46,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
47,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
48,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
49,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
50,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
Final,13,18.40,0.3414,13,18.40,2.9293,1.00,3.00,0.60,10.00
